"date","cHeader","n"
2020-05-13,2020-05-16,8
2020-05-14,2020-05-16,3
2020-05-15,2020-05-16,1
2020-03-17,2020-05-17,1
2020-03-19,2020-05-17,2
2020-03-20,2020-05-17,2
2020-03-21,2020-05-17,0
2020-03-22,2020-05-17,1
2020-03-23,2020-05-17,4
2020-03-24,2020-05-17,1
2020-03-25,2020-05-17,4
2020-03-26,2020-05-17,7
2020-03-27,2020-05-17,7
2020-03-28,2020-05-17,6
2020-03-29,2020-05-17,6
2020-03-30,2020-05-17,7
2020-03-31,2020-05-17,12
2020-04-01,2020-05-17,10
2020-04-02,2020-05-17,6
2020-04-03,2020-05-17,10
2020-04-04,2020-05-17,6
2020-04-05,2020-05-17,11
2020-04-06,2020-05-17,12
2020-04-07,2020-05-17,15
2020-04-08,2020-05-17,10
2020-04-09,2020-05-17,12
2020-04-10,2020-05-17,16
2020-04-11,2020-05-17,20
2020-04-12,2020-05-17,18
2020-04-13,2020-05-17,14
2020-04-14,2020-05-17,17
2020-04-15,2020-05-17,14
2020-04-16,2020-05-17,17
2020-04-17,2020-05-17,14
2020-04-18,2020-05-17,15
2020-04-19,2020-05-17,22
2020-04-20,2020-05-17,22
2020-04-21,2020-05-17,10
2020-04-22,2020-05-17,13
2020-04-23,2020-05-17,22
2020-04-24,2020-05-17,12
2020-04-25,2020-05-17,14
2020-04-26,2020-05-17,14
2020-04-27,2020-05-17,20
2020-04-28,2020-05-17,15
2020-04-29,2020-05-17,15
2020-04-30,2020-05-17,22
2020-05-01,2020-05-17,14
2020-05-02,2020-05-17,12
2020-05-03,2020-05-17,17
2020-05-04,2020-05-17,15
2020-05-05,2020-05-17,20
2020-05-06,2020-05-17,17
2020-05-07,2020-05-17,19
2020-05-08,2020-05-17,21
2020-05-09,2020-05-17,5
2020-05-10,2020-05-17,16
2020-05-11,2020-05-17,4
2020-05-12,2020-05-17,7
2020-05-13,2020-05-17,8
2020-05-14,2020-05-17,4
2020-05-15,2020-05-17,1
2020-03-17,2020-05-18,1
2020-03-19,2020-05-18,2
2020-03-20,2020-05-18,2
2020-03-21,2020-05-18,0
2020-03-22,2020-05-18,1
2020-03-23,2020-05-18,4
2020-03-24,2020-05-18,1
2020-03-25,2020-05-18,4
2020-03-26,2020-05-18,7
2020-03-27,2020-05-18,7
2020-03-28,2020-05-18,6
2020-03-29,2020-05-18,6
2020-03-30,2020-05-18,7
2020-03-31,2020-05-18,12
2020-04-01,2020-05-18,10
2020-04-02,2020-05-18,6
2020-04-03,2020-05-18,10
2020-04-04,2020-05-18,6
2020-04-05,2020-05-18,11
2020-04-06,2020-05-18,12
2020-04-07,2020-05-18,15
2020-04-08,2020-05-18,10
2020-04-09,2020-05-18,12
2020-04-10,2020-05-18,16
2020-04-11,2020-05-18,20
2020-04-12,2020-05-18,18
2020-04-13,2020-05-18,14
2020-04-14,2020-05-18,17
2020-04-15,2020-05-18,14
2020-04-16,2020-05-18,17
2020-04-17,2020-05-18,14
2020-04-18,2020-05-18,15
2020-04-19,2020-05-18,22
2020-04-20,2020-05-18,22
2020-04-21,2020-05-18,10
2020-04-22,2020-05-18,13
2020-04-23,2020-05-18,22
2020-04-24,2020-05-18,12
2020-04-25,2020-05-18,14
2020-04-26,2020-05-18,14
2020-04-27,2020-05-18,20
2020-04-28,2020-05-18,15
2020-04-29,2020-05-18,15
2020-04-30,2020-05-18,22
2020-05-01,2020-05-18,14
2020-05-02,2020-05-18,12
2020-05-03,2020-05-18,18
2020-05-04,2020-05-18,15
2020-05-05,2020-05-18,21
2020-05-06,2020-05-18,17
2020-05-07,2020-05-18,19
2020-05-08,2020-05-18,21
2020-05-09,2020-05-18,5
2020-05-10,2020-05-18,16
2020-05-11,2020-05-18,4
2020-05-12,2020-05-18,7
2020-05-13,2020-05-18,9
2020-05-14,2020-05-18,4
2020-05-15,2020-05-18,4
2020-03-17,2020-05-19,1
2020-03-19,2020-05-19,2
2020-03-20,2020-05-19,2
2020-03-21,2020-05-19,0
2020-03-22,2020-05-19,1
2020-03-23,2020-05-19,4
2020-03-24,2020-05-19,1
2020-03-25,2020-05-19,4
2020-03-26,2020-05-19,7
2020-03-27,2020-05-19,7
2020-03-28,2020-05-19,6
2020-03-29,2020-05-19,6
2020-03-30,2020-05-19,7
2020-03-31,2020-05-19,12
2020-04-01,2020-05-19,10
2020-04-02,2020-05-19,6
2020-04-03,2020-05-19,10
2020-04-04,2020-05-19,6
2020-04-05,2020-05-19,11
2020-04-06,2020-05-19,12
2020-04-07,2020-05-19,15
2020-04-08,2020-05-19,10
2020-04-09,2020-05-19,12
2020-04-10,2020-05-19,16
2020-04-11,2020-05-19,20
2020-04-12,2020-05-19,18
2020-04-13,2020-05-19,14
2020-04-14,2020-05-19,17
2020-04-15,2020-05-19,14
2020-04-16,2020-05-19,17
2020-04-17,2020-05-19,14
2020-04-18,2020-05-19,15
2020-04-19,2020-05-19,22
2020-04-20,2020-05-19,22
2020-04-21,2020-05-19,10
2020-04-22,2020-05-19,13
2020-04-23,2020-05-19,22
2020-04-24,2020-05-19,12
2020-04-25,2020-05-19,14
2020-04-26,2020-05-19,14
2020-04-27,2020-05-19,20
2020-04-28,2020-05-19,15
2020-04-29,2020-05-19,15
2020-04-30,2020-05-19,22
2020-05-01,2020-05-19,14
2020-05-02,2020-05-19,12
2020-05-03,2020-05-19,18
2020-05-04,2020-05-19,15
2020-05-05,2020-05-19,22
2020-05-06,2020-05-19,18
2020-05-07,2020-05-19,19
2020-05-08,2020-05-19,21
2020-05-09,2020-05-19,5
2020-05-10,2020-05-19,16
2020-05-11,2020-05-19,4
2020-05-12,2020-05-19,7
2020-05-13,2020-05-19,9
2020-05-14,2020-05-19,7
2020-05-15,2020-05-19,7
2020-05-16,2020-05-19,6
2020-05-17,2020-05-19,2
2020-05-18,2020-05-19,2
2020-03-17,2020-05-20,1
2020-03-19,2020-05-20,2
2020-03-20,2020-05-20,2
2020-03-21,2020-05-20,0
2020-03-22,2020-05-20,1
2020-03-23,2020-05-20,4
2020-03-24,2020-05-20,1
2020-03-25,2020-05-20,4
2020-03-26,2020-05-20,7
