"POSTCODE","ConfirmedCases","ConfirmedCaseCount","LowCase","HighCase","population","hh_pop","med_inc","med_age","per1k_low","per1k_high","ALAND10","NUMHospitals","SQMILE","pop_density","zip_class","HasHospital"
"86442","1-5","1-5",1,5,33551,13981,37924,49.6,0.0715256419426364,0.357628209713182,98612228,1,38.074394090009,367.202166551843,"Suburban",TRUE
"86440","0","0",0,0,7329,3105,39650,55.2,0,0,295852757,0,114.229388090021,27.1821468355676,"Rural",FALSE
"86441","0","0",0,0,2404,1199,24566,58.7,0,0,1322159854,0,510.488773574661,2.34872941789511,"Rural",FALSE
"86444","0","0",0,0,986,539,20139,65.6,0,0,1309783179,0,505.710112641516,1.06582800408044,"Rural",FALSE
"86502","Data Suppressed","Data Suppressed",0,0,1290,363,21645,34.4,0,0,1821589751,0,703.319734849672,0.516123722985802,"Rural",FALSE
"86503","Data Suppressed","Data Suppressed",0,0,11143,3142,27115,27.9,0,0,2155630423,1,832.293559351634,3.77511031377877,"Rural",TRUE
"86505","Data Suppressed","Data Suppressed",0,0,8002,2047,24583,31.9,0,0,2676729257,1,1033.49094397578,1.9806656380803,"Rural",TRUE
"86507","Data Suppressed","Data Suppressed",0,0,2217,560,24167,30.5,0,0,574727945,0,221.903700142249,2.52361722513423,"Rural",FALSE
"86510","Data Suppressed","Data Suppressed",0,0,4693,1330,22813,28.6,0,0,1918794355,0,740.850642274858,1.79523364644201,"Rural",FALSE
"86511","Data Suppressed","Data Suppressed",0,0,3658,1016,25938,39,0,0,954603324,0,368.574403953317,2.7565668942347,"Rural",FALSE
"86514","Data Suppressed","Data Suppressed",0,0,2936,827,25708,36.3,0,0,2115125856,0,816.65465860189,1.0126679512437,"Rural",FALSE
"86535","Data Suppressed","Data Suppressed",0,0,1298,320,16500,34.4,0,0,704008830,0,271.81932889972,1.17725255703966,"Rural",FALSE
"86538","Data Suppressed","Data Suppressed",0,0,2026,636,25714,31.4,0,0,522785771,0,201.848714641182,3.15087465942297,"Rural",FALSE
