date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2020-09-14 00:00:00,14,0,0,3,0,0
2020-09-13 00:00:00,4,0,0,,,
2020-09-12 00:00:00,2,0,0,1,0,0
2020-09-11 00:00:00,2,0,0,,,
2020-09-10 00:00:00,7,0,0,2,0,0
2020-09-09 00:00:00,7,0,0,1,0,0
2020-09-08 00:00:00,7,0,0,1,0,0
2020-09-07 00:00:00,1,0,0,,,
2020-09-06 00:00:00,1,0,0,,,
2020-09-05 00:00:00,3,0,0,,,
2020-09-04 00:00:00,6,0,0,2,0,0
2020-09-03 00:00:00,4,0,0,1,0,0
2020-09-02 00:00:00,62,0,0,,,
2020-09-01 00:00:00,89,0,0,1,0,0
2020-08-31 00:00:00,11,0,0,,,
2020-08-30 00:00:00,1,0,0,,,
2020-08-29 00:00:00,3,0,0,1,0,0
2020-08-28 00:00:00,4,0,0,1,0,0
2020-08-27 00:00:00,7,0,0,,,
2020-08-26 00:00:00,3,0,0,,,
2020-08-25 00:00:00,4,0,0,2,1,0.5
2020-08-24 00:00:00,2,0,0,,,
2020-08-23 00:00:00,2,0,0,,,
2020-08-22 00:00:00,4,0,0,,,
2020-08-21 00:00:00,6,0,0,1,0,0
2020-08-20 00:00:00,8,0,0,2,0,0
2020-08-19 00:00:00,9,0,0,1,0,0
2020-08-18 00:00:00,3,0,0,1,0,0
2020-08-17 00:00:00,4,0,0,2,1,0.5
2020-08-15 00:00:00,2,0,0,,,
2020-08-14 00:00:00,2,0,0,,,
2020-08-13 00:00:00,18,0,0,1,0,0
2020-08-12 00:00:00,2,0,0,,,
2020-08-11 00:00:00,7,0,0,3,0,0
2020-08-10 00:00:00,7,0,0,,,
2020-08-09 00:00:00,3,0,0,,,
2020-08-08 00:00:00,1,0,0,,,
2020-08-07 00:00:00,6,0,0,6,4,0.6666666666666666
2020-08-06 00:00:00,10,2,0.2,4,1,0.25
2020-08-05 00:00:00,10,0,0,,,
2020-08-04 00:00:00,8,0,0,1,0,0
2020-08-03 00:00:00,9,0,0,1,0,0
2020-08-02 00:00:00,2,0,0,2,0,0
2020-08-01 00:00:00,4,0,0,1,0,0
2020-07-31 00:00:00,4,1,0.25,3,2,0.6666666666666666
2020-07-30 00:00:00,10,1,0.1,2,1,0.5
2020-07-29 00:00:00,9,2,0.2222222222222222,3,1,0.3333333333333333
2020-07-28 00:00:00,4,0,0,4,1,0.25
2020-07-27 00:00:00,16,0,0,6,0,0
2020-07-26 00:00:00,2,0,0,,,
2020-07-25 00:00:00,5,0,0,1,0,0
2020-07-24 00:00:00,33,0,0,4,0,0
2020-07-23 00:00:00,6,1,0.1666666666666667,2,0,0
2020-07-22 00:00:00,12,0,0,1,1,1
2020-07-21 00:00:00,13,2,0.1538461538461539,4,0,0
2020-07-20 00:00:00,29,3,0.103448275862069,1,1,1
2020-07-19 00:00:00,1,0,0,,,
2020-07-18 00:00:00,11,0,0,,,
2020-07-17 00:00:00,31,1,0.032258064516129,1,0,0
2020-07-16 00:00:00,22,0,0,5,0,0
2020-07-15 00:00:00,19,1,0.0526315789473684,2,0,0
2020-07-14 00:00:00,23,3,0.1304347826086957,6,1,0.1666666666666667
2020-07-13 00:00:00,20,0,0,,,
2020-07-12 00:00:00,1,0,0,,,
2020-07-11 00:00:00,2,1,0.5,,,
2020-07-10 00:00:00,76,0,0,,,
2020-07-09 00:00:00,24,3,0.125,2,0,0
2020-07-08 00:00:00,41,4,0.0975609756097561,1,0,0
2020-07-07 00:00:00,47,7,0.148936170212766,10,1,0.1
2020-07-06 00:00:00,39,2,0.0512820512820513,1,0,0
2020-07-05 00:00:00,4,1,0.25,,,
2020-07-04 00:00:00,3,3,1,1,0,0
2020-07-03 00:00:00,2,0,0,,,
2020-07-02 00:00:00,48,6,0.125,7,0,0
2020-07-01 00:00:00,62,7,0.1129032258064516,,,
2020-06-30 00:00:00,67,2,0.0298507462686567,1,0,0
2020-06-29 00:00:00,111,13,0.1171171171171171,1,0,0
2020-06-28 00:00:00,6,1,0.1666666666666667,,,
2020-06-27 00:00:00,9,2,0.2222222222222222,,,
2020-06-26 00:00:00,24,4,0.1666666666666667,1,0,0
2020-06-25 00:00:00,51,2,0.0392156862745098,18,0,0
2020-06-24 00:00:00,43,5,0.1162790697674419,49,1,0.0204081632653061
2020-06-23 00:00:00,47,5,0.1063829787234043,59,2,0.0338983050847458
2020-06-22 00:00:00,67,15,0.2238805970149254,45,1,0.0222222222222222
2020-06-21 00:00:00,3,1,0.3333333333333333,,,
2020-06-20 00:00:00,6,0,0,,,
2020-06-19 00:00:00,35,4,0.1142857142857143,2,0,0
2020-06-18 00:00:00,70,4,0.0571428571428571,1,0,0
2020-06-17 00:00:00,59,11,0.1864406779661017,2,0,0
2020-06-16 00:00:00,48,6,0.125,8,2,0.25
2020-06-15 00:00:00,46,5,0.108695652173913,8,0,0
2020-06-14 00:00:00,3,0,0,1,0,0
2020-06-13 00:00:00,2,2,1,,,
2020-06-12 00:00:00,46,7,0.1521739130434783,8,0,0
2020-06-11 00:00:00,97,1,0.0103092783505155,231,6,0.025974025974026
2020-06-10 00:00:00,185,10,0.0540540540540541,199,3,0.0150753768844221
2020-06-09 00:00:00,19,1,0.0526315789473684,5,0,0
2020-06-08 00:00:00,22,8,0.3636363636363637,6,0,0
2020-06-07 00:00:00,3,0,0,1,0,0
2020-06-06 00:00:00,1,0,0,1,0,0
2020-06-05 00:00:00,135,10,0.0740740740740741,9,0,0
2020-06-04 00:00:00,29,7,0.2413793103448276,3,0,0
2020-06-03 00:00:00,19,3,0.1578947368421053,5,0,0
2020-06-02 00:00:00,108,18,0.1666666666666667,5,0,0
2020-06-01 00:00:00,50,8,0.16,15,0,0
2020-05-31 00:00:00,1,0,0,,,
2020-05-30 00:00:00,62,0,0,2,0,0
2020-05-29 00:00:00,251,15,0.0597609561752988,7,0,0
2020-05-28 00:00:00,69,4,0.0579710144927536,9,0,0
2020-05-27 00:00:00,14,3,0.2142857142857143,8,0,0
2020-05-26 00:00:00,11,1,0.0909090909090909,9,0,0
2020-05-25 00:00:00,5,0,0,,,
2020-05-24 00:00:00,5,0,0,,,
2020-05-23 00:00:00,6,1,0.1666666666666667,,,
2020-05-22 00:00:00,8,0,0,12,0,0
2020-05-21 00:00:00,8,1,0.125,6,0,0
2020-05-20 00:00:00,33,0,0,192,1,0.0052083333333333
2020-05-19 00:00:00,10,1,0.1,8,1,0.125
2020-05-18 00:00:00,6,1,0.1666666666666667,8,0,0
2020-05-17 00:00:00,4,0,0,2,0,0
2020-05-16 00:00:00,20,1,0.05,,,
2020-05-15 00:00:00,18,0,0,6,0,0
2020-05-14 00:00:00,3,0,0,3,0,0
2020-05-13 00:00:00,13,2,0.1538461538461539,2,0,0
2020-05-12 00:00:00,26,11,0.4230769230769231,2,0,0
2020-05-11 00:00:00,5,0,0,1,0,0
2020-05-10 00:00:00,2,0,0,2,0,0
2020-05-09 00:00:00,3,0,0,,,
2020-05-08 00:00:00,12,0,0,8,0,0
2020-05-07 00:00:00,4,0,0,1,0,0
2020-05-06 00:00:00,48,0,0,213,2,0.0093896713615023
2020-05-05 00:00:00,12,2,0.1666666666666667,1,0,0
2020-05-04 00:00:00,5,1,0.2,2,0,0
2020-05-03 00:00:00,1,0,0,,,
2020-05-02 00:00:00,2,0,0,1,0,0
2020-05-01 00:00:00,5,0,0,1,0,0
2020-04-30 00:00:00,6,0,0,,,
2020-04-29 00:00:00,2,1,0.5,,,
2020-04-27 00:00:00,2,0,0,,,
2020-04-25 00:00:00,11,0,0,,,
2020-04-24 00:00:00,18,0,0,,,
2020-04-23 00:00:00,9,0,0,,,
2020-04-22 00:00:00,4,0,0,,,
2020-04-21 00:00:00,5,0,0,,,
2020-04-20 00:00:00,1,0,0,,,
