pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,date,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
,,,2020-10-07 00:00:00,1257,48,0.0381861575178998
,,,2020-10-07 00:00:00,70,5,0.0714285714285714
,,,2020-10-06 00:00:00,1403,66,0.0470420527441197
,,,2020-10-06 00:00:00,109,8,0.073394495412844
,,,2020-10-05 00:00:00,1477,45,0.030467163168585
,,,2020-10-05 00:00:00,126,5,0.0396825396825397
,,,2020-10-04 00:00:00,517,28,0.0541586073500967
,,,2020-10-04 00:00:00,75,5,0.0666666666666667
,,,2020-10-03 00:00:00,649,30,0.0462249614791988
,,,2020-10-03 00:00:00,93,6,0.0645161290322581
,,,2020-10-02 00:00:00,1083,43,0.0397045244690674
,,,2020-10-02 00:00:00,119,5,0.0420168067226891
,,,2020-10-01 00:00:00,1262,36,0.0285261489698891
,,,2020-10-01 00:00:00,81,16,0.1975308641975309
,,,2020-09-30 00:00:00,1237,41,0.0331447049312854
,,,2020-09-30 00:00:00,88,13,0.1477272727272727
,,,2020-09-29 00:00:00,1152,29,0.0251736111111111
,,,2020-09-29 00:00:00,118,20,0.1694915254237288
,,,2020-09-28 00:00:00,1399,54,0.0385989992852037
,,,2020-09-28 00:00:00,179,18,0.1005586592178771
,,,2020-09-27 00:00:00,399,20,0.050125313283208
,,,2020-09-27 00:00:00,59,5,0.0847457627118644
,,,2020-09-26 00:00:00,506,24,0.0474308300395257
,,,2020-09-26 00:00:00,133,11,0.0827067669172932
,,,2020-09-25 00:00:00,1167,51,0.0437017994858612
,,,2020-09-25 00:00:00,135,9,0.0666666666666667
,,,2020-09-24 00:00:00,1430,38,0.0265734265734266
,,,2020-09-24 00:00:00,79,5,0.0632911392405063
,,,2020-09-23 00:00:00,980,48,0.0489795918367347
,,,2020-09-23 00:00:00,88,6,0.0681818181818182
,,,2020-09-22 00:00:00,1037,45,0.0433944069431051
,,,2020-09-22 00:00:00,143,11,0.0769230769230769
,,,2020-09-21 00:00:00,976,39,0.0399590163934426
,,,2020-09-21 00:00:00,120,13,0.1083333333333333
,,,2020-09-20 00:00:00,528,22,0.0416666666666667
,,,2020-09-20 00:00:00,56,4,0.0714285714285714
,,,2020-09-19 00:00:00,608,30,0.0493421052631579
,,,2020-09-19 00:00:00,78,12,0.1538461538461539
,,,2020-09-18 00:00:00,759,24,0.0316205533596838
,,,2020-09-18 00:00:00,139,11,0.079136690647482
,,,2020-09-17 00:00:00,1060,31,0.0292452830188679
,,,2020-09-17 00:00:00,53,9,0.169811320754717
,,,2020-09-16 00:00:00,1198,24,0.0200333889816361
,,,2020-09-16 00:00:00,53,3,0.0566037735849057
,,,2020-09-15 00:00:00,1194,37,0.0309882747068677
,,,2020-09-15 00:00:00,109,8,0.073394495412844
,,,2020-09-14 00:00:00,1062,27,0.0254237288135593
,,,2020-09-14 00:00:00,103,9,0.087378640776699
,,,2020-09-13 00:00:00,300,11,0.0366666666666667
,,,2020-09-13 00:00:00,54,0,0
,,,2020-09-12 00:00:00,345,11,0.0318840579710145
,,,2020-09-12 00:00:00,88,5,0.0568181818181818
,,,2020-09-11 00:00:00,706,23,0.0325779036827195
,,,2020-09-11 00:00:00,125,6,0.048
,,,2020-09-10 00:00:00,661,19,0.0287443267776097
,,,2020-09-10 00:00:00,55,7,0.1272727272727273
,,,2020-09-09 00:00:00,789,26,0.0329531051964512
,,,2020-09-09 00:00:00,52,8,0.1538461538461539
,,,2020-09-08 00:00:00,769,18,0.023407022106632
,,,2020-09-08 00:00:00,83,13,0.1566265060240964
,,,2020-09-07 00:00:00,330,10,0.0303030303030303
,,,2020-09-07 00:00:00,68,2,0.0294117647058824
,,,2020-09-06 00:00:00,288,16,0.0555555555555556
,,,2020-09-06 00:00:00,88,2,0.0227272727272727
,,,2020-09-05 00:00:00,259,7,0.027027027027027
,,,2020-09-05 00:00:00,67,2,0.0298507462686567
,,,2020-09-04 00:00:00,780,18,0.0230769230769231
,,,2020-09-04 00:00:00,77,8,0.1038961038961039
,,,2020-09-03 00:00:00,857,24,0.0280046674445741
,,,2020-09-03 00:00:00,47,3,0.0638297872340426
,,,2020-09-02 00:00:00,1071,12,0.0112044817927171
,,,2020-09-02 00:00:00,68,10,0.1470588235294118
,,,2020-09-01 00:00:00,1206,23,0.0190713101160862
,,,2020-09-01 00:00:00,114,16,0.1403508771929825
,,,2020-08-31 00:00:00,983,25,0.0254323499491353
,,,2020-08-31 00:00:00,172,12,0.0697674418604651
,,,2020-08-30 00:00:00,269,14,0.0520446096654275
,,,2020-08-30 00:00:00,80,4,0.05
,,,2020-08-29 00:00:00,280,11,0.0392857142857143
,,,2020-08-29 00:00:00,90,11,0.1222222222222222
,,,2020-08-28 00:00:00,920,27,0.0293478260869565
,,,2020-08-28 00:00:00,114,16,0.1403508771929825
,,,2020-08-27 00:00:00,2669,89,0.0333458224053953
,,,2020-08-27 00:00:00,71,20,0.2816901408450705
,,,2020-08-26 00:00:00,3189,25,0.0078394481028536
,,,2020-08-26 00:00:00,89,10,0.1123595505617978
,,,2020-08-25 00:00:00,3494,38,0.0108757870635375
,,,2020-08-25 00:00:00,113,11,0.0973451327433628
,,,2020-08-24 00:00:00,3234,207,0.0640074211502783
,,,2020-08-24 00:00:00,118,10,0.0847457627118644
,,,2020-08-23 00:00:00,464,13,0.0280172413793103
,,,2020-08-23 00:00:00,59,3,0.0508474576271187
,,,2020-08-22 00:00:00,396,12,0.0303030303030303
,,,2020-08-22 00:00:00,98,8,0.0816326530612245
,,,2020-08-21 00:00:00,1890,34,0.017989417989418
,,,2020-08-21 00:00:00,137,12,0.0875912408759124
,,,2020-08-20 00:00:00,1356,33,0.0243362831858407
,,,2020-08-20 00:00:00,80,11,0.1375
,,,2020-08-19 00:00:00,3084,335,0.1086251621271077
,,,2020-08-19 00:00:00,60,7,0.1166666666666667
,,,2020-08-18 00:00:00,987,39,0.0395136778115502
,,,2020-08-18 00:00:00,114,10,0.087719298245614
,,,2020-08-17 00:00:00,872,49,0.0561926605504587
,,,2020-08-17 00:00:00,140,19,0.1357142857142857
,,,2020-08-16 00:00:00,482,21,0.0435684647302905
,,,2020-08-16 00:00:00,57,6,0.1052631578947368
,,,2020-08-15 00:00:00,477,34,0.0712788259958071
,,,2020-08-15 00:00:00,74,7,0.0945945945945946
,,,2020-08-14 00:00:00,853,39,0.0457209847596718
,,,2020-08-14 00:00:00,138,15,0.108695652173913
,,,2020-08-13 00:00:00,910,51,0.056043956043956
,,,2020-08-13 00:00:00,112,27,0.2410714285714286
,,,2020-08-12 00:00:00,878,40,0.0455580865603645
,,,2020-08-12 00:00:00,86,15,0.1744186046511628
,,,2020-08-11 00:00:00,881,45,0.0510783200908059
,,,2020-08-11 00:00:00,128,23,0.1796875
,,,2020-08-10 00:00:00,931,47,0.0504833512352309
,,,2020-08-10 00:00:00,143,19,0.1328671328671329
,,,2020-08-09 00:00:00,431,22,0.0510440835266821
,,,2020-08-09 00:00:00,56,1,0.0178571428571429
,,,2020-08-08 00:00:00,434,33,0.076036866359447
,,,2020-08-08 00:00:00,60,4,0.0666666666666667
,,,2020-08-07 00:00:00,857,48,0.0560093348891482
,,,2020-08-07 00:00:00,141,16,0.1134751773049645
,,,2020-08-06 00:00:00,870,43,0.0494252873563218
,,,2020-08-06 00:00:00,125,17,0.136
,,,2020-08-05 00:00:00,1071,63,0.0588235294117647
,,,2020-08-05 00:00:00,86,13,0.1511627906976744
,,,2020-08-04 00:00:00,1204,50,0.0415282392026578
,,,2020-08-04 00:00:00,154,12,0.0779220779220779
,,,2020-08-03 00:00:00,910,77,0.0846153846153846
,,,2020-08-03 00:00:00,166,20,0.1204819277108434
,,,2020-08-02 00:00:00,386,33,0.0854922279792746
,,,2020-08-02 00:00:00,61,3,0.0491803278688525
,,,2020-08-01 00:00:00,394,40,0.1015228426395939
,,,2020-08-01 00:00:00,75,6,0.08
,,,2020-07-31 00:00:00,932,49,0.0525751072961373
,,,2020-07-31 00:00:00,188,27,0.1436170212765958
,,,2020-07-30 00:00:00,1010,73,0.0722772277227723
,,,2020-07-30 00:00:00,132,16,0.1212121212121212
,,,2020-07-29 00:00:00,1002,59,0.0588822355289421
,,,2020-07-29 00:00:00,172,25,0.1453488372093023
,,,2020-07-28 00:00:00,1235,84,0.0680161943319838
,,,2020-07-28 00:00:00,136,17,0.125
,,,2020-07-27 00:00:00,1718,106,0.0616996507566938
,,,2020-07-27 00:00:00,207,19,0.0917874396135266
,,,2020-07-26 00:00:00,398,45,0.1130653266331658
,,,2020-07-26 00:00:00,55,4,0.0727272727272727
,,,2020-07-25 00:00:00,654,67,0.1024464831804281
,,,2020-07-25 00:00:00,65,7,0.1076923076923077
