date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2020-06-20 00:00:00,104,19,0.1826923076923077,9.0,0.0,0
2020-06-19 00:00:00,241,20,0.0829875518672199,30.0,0.0,0
2020-06-18 00:00:00,254,27,0.1062992125984252,13.0,0.0,0
2020-06-17 00:00:00,242,27,0.1115702479338843,20.0,0.0,0
2020-06-16 00:00:00,275,26,0.0945454545454545,29.0,0.0,0
2020-06-15 00:00:00,121,8,0.0661157024793389,15.0,1.0,0.0666666666666667
2020-06-14 00:00:00,105,3,0.0285714285714286,13.0,0.0,0
2020-06-13 00:00:00,197,12,0.0609137055837564,9.0,0.0,0
2020-06-12 00:00:00,76,4,0.0526315789473684,23.0,3.0,0.1304347826086957
2020-06-11 00:00:00,98,13,0.1326530612244898,122.0,0.0,0
2020-06-10 00:00:00,73,7,0.0958904109589041,46.0,0.0,0
2020-06-09 00:00:00,129,5,0.0387596899224806,179.0,5.0,0.0279329608938547
2020-06-08 00:00:00,131,10,0.0763358778625954,114.0,3.0,0.0263157894736842
2020-06-07 00:00:00,34,0,0,11.0,0.0,0
2020-06-06 00:00:00,38,3,0.0789473684210526,17.0,0.0,0
2020-06-05 00:00:00,54,3,0.0555555555555556,24.0,0.0,0
2020-06-04 00:00:00,91,1,0.010989010989011,11.0,0.0,0
2020-06-03 00:00:00,52,2,0.0384615384615385,41.0,1.0,0.024390243902439
2020-06-02 00:00:00,50,1,0.02,31.0,2.0,0.0645161290322581
2020-06-01 00:00:00,59,1,0.0169491525423729,25.0,1.0,0.04
2020-05-31 00:00:00,27,1,0.037037037037037,12.0,0.0,0
2020-05-30 00:00:00,190,6,0.0315789473684211,16.0,0.0,0
2020-05-29 00:00:00,172,1,0.0058139534883721,108.0,1.0,0.0092592592592593
2020-05-28 00:00:00,132,2,0.0151515151515152,82.0,0.0,0
2020-05-27 00:00:00,109,0,0,70.0,0.0,0
2020-05-26 00:00:00,165,0,0,170.0,1.0,0.0058823529411765
2020-05-25 00:00:00,24,1,0.0416666666666667,10.0,0.0,0
2020-05-24 00:00:00,26,0,0,13.0,0.0,0
2020-05-23 00:00:00,44,0,0,19.0,2.0,0.1052631578947368
2020-05-22 00:00:00,19,0,0,18.0,0.0,0
2020-05-21 00:00:00,136,1,0.0073529411764706,118.0,0.0,0
2020-05-20 00:00:00,99,2,0.0202020202020202,121.0,1.0,0.0082644628099174
2020-05-19 00:00:00,160,1,0.00625,86.0,0.0,0
2020-05-18 00:00:00,45,3,0.0666666666666667,67.0,1.0,0.0149253731343284
2020-05-17 00:00:00,124,1,0.0080645161290323,13.0,0.0,0
2020-05-16 00:00:00,28,0,0,15.0,0.0,0
2020-05-15 00:00:00,93,0,0,82.0,0.0,0
2020-05-14 00:00:00,225,1,0.0044444444444444,53.0,1.0,0.0188679245283019
2020-05-13 00:00:00,69,2,0.0289855072463768,57.0,3.0,0.0526315789473684
2020-05-12 00:00:00,67,0,0,36.0,1.0,0.0277777777777778
2020-05-11 00:00:00,40,1,0.025,53.0,0.0,0
2020-05-10 00:00:00,19,0,0,10.0,0.0,0
2020-05-09 00:00:00,19,0,0,10.0,0.0,0
2020-05-08 00:00:00,82,0,0,42.0,0.0,0
2020-05-07 00:00:00,73,0,0,24.0,0.0,0
2020-05-06 00:00:00,37,0,0,98.0,3.0,0.0306122448979592
2020-05-05 00:00:00,31,2,0.0645161290322581,20.0,1.0,0.05
2020-05-04 00:00:00,30,2,0.0666666666666667,17.0,0.0,0
2020-05-03 00:00:00,10,1,0.1,6.0,0.0,0
2020-05-02 00:00:00,19,0,0,9.0,0.0,0
2020-05-01 00:00:00,29,2,0.0689655172413793,19.0,0.0,0
2020-04-30 00:00:00,24,0,0,11.0,0.0,0
2020-04-29 00:00:00,23,0,0,18.0,1.0,0.0555555555555556
2020-04-28 00:00:00,15,0,0,10.0,0.0,0
2020-04-27 00:00:00,16,2,0.125,5.0,0.0,0
2020-04-26 00:00:00,5,0,0,,,
2020-04-25 00:00:00,6,1,0.1666666666666667,,,
2020-04-24 00:00:00,16,0,0,,,
2020-04-23 00:00:00,48,1,0.0208333333333333,,,
2020-04-22 00:00:00,9,0,0,,,
2020-04-21 00:00:00,34,0,0,,,
2020-04-20 00:00:00,32,1,0.03125,1.0,0.0,0
2020-04-19 00:00:00,2,0,0,,,
2020-04-18 00:00:00,15,0,0,,,
2020-04-17 00:00:00,18,0,0,,,
2020-04-16 00:00:00,41,1,0.024390243902439,,,
2020-04-15 00:00:00,11,2,0.1818181818181818,,,
2020-04-14 00:00:00,29,2,0.0689655172413793,,,
2020-04-13 00:00:00,13,0,0,,,
2020-04-12 00:00:00,66,0,0,,,
2020-04-11 00:00:00,5,1,0.2,,,
2020-04-10 00:00:00,10,0,0,,,
2020-04-09 00:00:00,19,0,0,,,
2020-04-08 00:00:00,20,1,0.05,,,
2020-04-07 00:00:00,12,0,0,,,
2020-04-06 00:00:00,27,0,0,,,
2020-04-05 00:00:00,9,0,0,,,
2020-04-04 00:00:00,5,0,0,,,
2020-04-03 00:00:00,20,0,0,,,
2020-04-02 00:00:00,17,0,0,,,
