date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2020-07-31 00:00:00,26,2,0.0769230769230769,1.0,0.0,0
2020-07-30 00:00:00,47,5,0.1063829787234043,1.0,0.0,0
2020-07-29 00:00:00,44,5,0.1136363636363636,3.0,0.0,0
2020-07-28 00:00:00,37,7,0.1891891891891892,5.0,4.0,0.8
2020-07-27 00:00:00,107,18,0.1682242990654206,10.0,0.0,0
2020-07-26 00:00:00,15,3,0.2,,,
2020-07-25 00:00:00,46,5,0.108695652173913,1.0,0.0,0
2020-07-24 00:00:00,64,18,0.28125,9.0,0.0,0
2020-07-23 00:00:00,68,20,0.2941176470588236,7.0,0.0,0
2020-07-22 00:00:00,65,6,0.0923076923076923,,,
2020-07-21 00:00:00,99,18,0.1818181818181818,1.0,0.0,0
2020-07-20 00:00:00,51,9,0.1764705882352941,4.0,0.0,0
2020-07-19 00:00:00,4,0,0,2.0,0.0,0
2020-07-18 00:00:00,12,7,0.5833333333333334,,,
2020-07-17 00:00:00,30,5,0.1666666666666667,3.0,0.0,0
2020-07-16 00:00:00,48,13,0.2708333333333333,4.0,0.0,0
2020-07-15 00:00:00,67,14,0.208955223880597,8.0,2.0,0.25
2020-07-14 00:00:00,58,5,0.0862068965517241,3.0,1.0,0.3333333333333333
2020-07-13 00:00:00,98,8,0.0816326530612245,8.0,4.0,0.5
2020-07-12 00:00:00,5,1,0.2,1.0,0.0,0
2020-07-11 00:00:00,13,0,0,,,
2020-07-10 00:00:00,28,6,0.2142857142857143,10.0,0.0,0
2020-07-09 00:00:00,66,6,0.0909090909090909,2.0,0.0,0
2020-07-08 00:00:00,85,7,0.0823529411764706,8.0,0.0,0
2020-07-07 00:00:00,58,9,0.1551724137931035,2.0,0.0,0
2020-07-06 00:00:00,100,16,0.16,3.0,0.0,0
2020-07-05 00:00:00,6,1,0.1666666666666667,1.0,0.0,0
2020-07-04 00:00:00,1,0,0,,,
2020-07-03 00:00:00,8,4,0.5,,,
2020-07-02 00:00:00,34,7,0.2058823529411765,9.0,0.0,0
2020-07-01 00:00:00,76,17,0.2236842105263158,,,
2020-06-30 00:00:00,64,9,0.140625,2.0,0.0,0
2020-06-29 00:00:00,72,17,0.2361111111111111,1.0,0.0,0
2020-06-28 00:00:00,2,0,0,,,
2020-06-27 00:00:00,6,2,0.3333333333333333,,,
2020-06-26 00:00:00,23,3,0.1304347826086957,5.0,0.0,0
2020-06-25 00:00:00,46,12,0.2608695652173913,37.0,0.0,0
2020-06-24 00:00:00,25,3,0.12,1.0,0.0,0
2020-06-23 00:00:00,34,3,0.0882352941176471,6.0,0.0,0
2020-06-22 00:00:00,32,4,0.125,4.0,1.0,0.25
2020-06-21 00:00:00,3,0,0,,,
2020-06-20 00:00:00,9,1,0.1111111111111111,,,
2020-06-19 00:00:00,15,0,0,4.0,0.0,0
2020-06-18 00:00:00,13,0,0,1.0,0.0,0
2020-06-17 00:00:00,26,1,0.0384615384615385,9.0,0.0,0
2020-06-16 00:00:00,23,1,0.0434782608695652,11.0,1.0,0.0909090909090909
2020-06-15 00:00:00,23,1,0.0434782608695652,3.0,0.0,0
2020-06-14 00:00:00,3,0,0,,,
2020-06-13 00:00:00,212,1,0.0047169811320755,1.0,0.0,0
2020-06-12 00:00:00,13,0,0,5.0,0.0,0
2020-06-11 00:00:00,18,1,0.0555555555555556,78.0,0.0,0
2020-06-10 00:00:00,20,0,0,5.0,0.0,0
2020-06-09 00:00:00,70,0,0,164.0,2.0,0.0121951219512195
2020-06-08 00:00:00,25,1,0.04,2.0,0.0,0
2020-06-07 00:00:00,8,0,0,3.0,0.0,0
2020-06-06 00:00:00,8,2,0.25,1.0,0.0,0
2020-06-05 00:00:00,14,0,0,7.0,0.0,0
2020-06-04 00:00:00,22,0,0,39.0,0.0,0
2020-06-03 00:00:00,9,1,0.1111111111111111,1.0,0.0,0
2020-06-02 00:00:00,20,0,0,50.0,0.0,0
2020-06-01 00:00:00,24,1,0.0416666666666667,4.0,0.0,0
2020-05-31 00:00:00,11,1,0.0909090909090909,,,
2020-05-30 00:00:00,7,0,0,,,
2020-05-29 00:00:00,18,0,0,7.0,0.0,0
2020-05-28 00:00:00,26,3,0.1153846153846154,4.0,0.0,0
2020-05-27 00:00:00,19,1,0.0526315789473684,10.0,0.0,0
2020-05-26 00:00:00,16,4,0.25,17.0,0.0,0
2020-05-25 00:00:00,3,0,0,,,
2020-05-24 00:00:00,6,0,0,1.0,0.0,0
2020-05-23 00:00:00,5,2,0.4,1.0,0.0,0
